Source data: /Users/nancyhd/Documents/Logomatic/Outputs/LOG01.bin
ADC, Accel X, Accel Y, Accel Z
1812,-0.8994,1.999,-0.2412
1813,-0.9053,1.999,-0.2432
1812,-0.8994,1.999,-0.2441
1812,-0.9131,1.999,-0.2383
1813,-0.9023,1.999,-0.2471
1812,-0.916,1.999,-0.2354
1813,-0.9033,1.999,-0.2471
1814,-0.8984,1.999,-0.2588
1813,-0.8994,1.999,-0.2627
1812,-0.8994,1.999,-0.2627
1812,-0.8994,1.999,-0.2578
1812,-0.8975,1.999,-0.2656
1813,-0.8906,1.999,-0.2783
1813,-0.8906,1.999,-0.2695
1813,-0.9033,1.999,-0.2568
1813,-0.8945,1.999,-0.2627
1812,-0.8994,1.999,-0.252
1813,-0.8994,1.999,-0.2656
1813,-0.8994,1.999,-0.2627
1812,-0.8945,1.999,-0.2539
1813,-0.8994,1.999,-0.2695
1813,-0.8945,1.999,-0.2783
1814,-0.8975,1.999,-0.2725
1812,-0.8994,1.999,-0.2725
1813,-0.9004,1.999,-0.2725
1812,-0.8838,1.999,-0.2939
1813,-0.9063,1.999,-0.2656
1813,-0.9072,1.999,-0.2432
1812,-0.8877,1.999,-0.2725
1813,-0.7578,1.999,-0.4346
1813,-0.5879,1.999,-0.8096
1814,-0.1943,1.999,-1.1094
1812,-0.2578,1.999,-0.9727
1812,-0.1758,1.999,-0.8477
1813,-0.0977,1.999,-0.7979
1813,0.1875,1.999,-1.4531
1813,-0.165,1.999,-0.8447
1813,-0.21,1.999,-0.7783
1812,-0.0879,1.999,-0.958
1813,-0.1211,1.999,-0.9531
1812,-0.0244,1.999,-1.04
1813,-0.1328,1.999,-0.9385
1813,-0.1016,1.999,-0.9463
1812,-0.1563,1.999,-0.96
1812,-0.1914,1.999,-0.9385
1813,-0.1377,1.999,-0.9453
1813,-0.1406,1.999,-0.9473
1813,-0.1445,1.999,-0.9453
1812,-0.1445,1.999,-0.9473
1813,-0.165,1.999,-0.9238
